,time,position,velocity
0,0.0,"[-0.96492334  0.55747034 -0.16192975 -1.68194634  0.10032712  2.21811382
 -0.37655851]","[-5.36629121e-04 -2.84773574e-04 -2.62864613e-04  7.58606614e-04
 -1.05145866e-05  1.41046528e-04 -2.64499324e-04]"
1,0.0015003681182861328,"[-0.96492166  0.55746792 -0.16193126 -1.68195309  0.10032466  2.21811314
 -0.37655424]","[ 0.00019906 -0.00083946 -0.00073206 -0.0012575   0.00023035 -0.00014333
  0.00124782]"
2,0.0037009716033935547,"[-0.96492334  0.55746985 -0.16192952 -1.68194773  0.10032512  2.21811458
 -0.37655922]","[-0.00046834 -0.00058963  0.00023145  0.00101874 -0.00033843  0.00041102
 -0.00079045]"
3,0.005910158157348633,"[-0.96492166  0.55747392 -0.16192951 -1.68195039  0.10032832  2.21810963
 -0.37656171]","[ 0.00016306  0.00128464  0.00010287 -0.00019684  0.00042603  0.00010355
 -0.00074691]"
4,0.008007049560546875,"[-0.96492334  0.55747355 -0.16192951 -1.68195214  0.10032785  2.21811093
 -0.37655779]","[-4.84342474e-04  3.85347533e-04  4.57193406e-05 -4.58691710e-04
  5.37124998e-05  3.62502761e-04  7.75715943e-04]"
5,0.009632349014282227,"[-0.96492334  0.55746988 -0.16193022 -1.68195167  0.10032396  2.21811346
 -0.37655997]","[-6.17405287e-04 -1.99942398e-04  2.03197069e-05 -1.16281690e-03
 -1.34367072e-04  8.19926914e-05 -2.09074888e-04]"
6,0.011561393737792969,"[-0.96492334  0.55747037 -0.16193126 -1.68194738  0.10032574  2.21811207
 -0.37655392]","[-6.76544315e-04 -8.88632879e-05 -3.62176987e-04  2.25608425e-04
 -5.97186986e-05  5.90278725e-04  7.77393945e-04]"
7,0.013554096221923828,"[-0.96492166  0.55747186 -0.16193314 -1.68194894  0.10032345  2.21811422
 -0.37655428]","[ 7.05216057e-05 -4.10702762e-04 -9.96185477e-04 -2.70937557e-04
  1.31697650e-04  4.20585394e-04  5.82867361e-04]"
8,0.015471935272216797,"[-0.96492334  0.55747226 -0.16192855 -1.68194797  0.10032418  2.21811205
 -0.3765578 ]","[-5.25469016e-04  3.74277391e-04  9.18343992e-04  2.50791276e-04
  5.85322890e-05 -2.87791040e-04 -6.11263957e-04]"
9,0.01742076873779297,"[-0.96492166  0.55746993 -0.16192597 -1.68194901  0.10032355  2.21811374
 -0.376561  ]","[-7.88717982e-05 -8.54476405e-04  1.05776683e-03 -2.59745179e-04
 -6.44081031e-05 -4.87874820e-05 -3.50792517e-04]"
10,0.019613027572631836,"[-0.96492334  0.55747369 -0.16193165 -1.68194941  0.10032569  2.21811456
 -0.37656313]","[-2.20658116e-04  4.24516639e-04 -3.34163481e-04 -1.46376299e-04
 -1.07745471e-04  5.74363217e-05 -6.30625667e-04]"
11,0.021808385848999023,"[-0.96492334  0.55747538 -0.16193188 -1.68194602  0.10032461  2.21811068
 -0.37655724]","[-2.83674258e-04  5.59882030e-04 -3.34120157e-04  1.51257773e-03
 -4.20879497e-04 -5.35923929e-05  2.48977070e-05]"
12,0.02400040626525879,"[-0.96492166  0.5574761  -0.1619281  -1.68195134  0.10032144  2.21810927
 -0.37655609]","[ 2.85925386e-05  6.20044426e-04  5.93915300e-04 -5.03235129e-04
 -4.13113689e-04 -2.38188413e-05  9.15290185e-04]"
